集团名称,成员名称,成员类型
联想职业教育集团,北京市昌平职业学校,中职
北京交通职业教育集团,北京铁路电气化学校,中职
北京交通职业教育集团,北京地铁技术学校,中职
北京交通职业教育集团,北京市公共交通高级技工学校,中职
北京交通职业教育集团,北京电气工程学校,中职
北京交通职业教育集团,北京市丰台区职业教育中心学校,中职
北京交通职业教育集团,北京市商业学校,中职
北京交通职业教育集团,北京自动化工程学校,中职
北京交通职业教育集团,北京市房山区第二职业高中,中职
北京交通职业教育集团,北京怀柔职业学校,中职
北京交通职业教育集团,北京金隅科技学院,中职
北京交通职业教育集团,北京市外事学校,中职
北京交通职业教育集团,北京市门头沟区中等职业学校,中职
北京交通职业教育集团,密云区职业学校,中职
北京交通职业教育集团,河北省石家庄市第三职业中专学校,中职
北京交通职业教育集团,河北省涿州职教中心,中职
北京交通职业教育集团,河北省唐山市第一职业中专学校,中职
北京交通职业教育集团,河北省唐山市丰南区职业技术教育中心,中职
北京交通职业教育集团,河北省秦皇岛市青龙县职业技术教育中心,中职
北京交通职业教育集团,河北省保定市阜平县职业技术教育中心,中职
北京交通职业教育集团,河北省威县职业技术教育中心,中职
北京交通职业教育集团,内蒙古呼伦贝尔市海拉尔区第一职业学校,中职
北京交通职业教育集团,云南省丽江市民族中等专业学校,中职
北京交通职业教育集团,北京交通运输职业学院,高职
北京交通职业教育集团,北京交通大学远程与继续教育学院,本科
北京交通职业教育集团,北京工业大学继续教育学院,本科
北京交通职业教育集团,北京市汽车修理协会,行业协会
北京交通职业教育集团,北京公路学会,行业协会
北京交通职业教育集团,北京市道路运输协会,行业协会
北京交通职业教育集团,北京市出租汽车暨汽车租赁协会,行业协会
北京交通职业教育集团,北京祥龙博瑞汽车服务（集团）有限公司,企业
北京交通职业教育集团,北京京港地铁有限公司,企业
北京交通职业教育集团,港铁轨道交通（深圳）有限公司,企业
北京交通职业教育集团,一汽丰田汽车销售有限公司,企业
北京交通职业教育集团,巴斯夫涂料国际贸易（上海）有限公司,企业
北京交通职业教育集团,北京尚盟汽车服务有限公司,企业
北京交通职业教育集团,易通交通信息发展有限公司,企业
北京交通职业教育集团,北京广达汽车维修设备有限公司,企业
北京交通职业教育集团,北京祥龙公交客运有限公司,企业
北京交通职业教育集团,北京嘉华企业管理有限公司,企业
北京交通职业教育集团,北京埃斯林根教育科技有限公司,企业
北京交通职业教育集团,巴斯夫（中国）有限公司,企业
北京交通职业教育集团,丰田汽车（中国）投资有限公司,企业
北京交通职业教育集团,广汽丰田汽车有限公司,企业
北京交通职业教育集团,戴姆勒大中华区投资有限公司,企业
北京交通职业教育集团,上汽通用汽车销售有限公司,企业
北京交通职业教育集团,庞贝捷漆油贸易（上海）有限公司,企业
北京交通职业教育集团,北京汽车技术研究所,研究机构
北京交通职业教育集团,北京交通发展研究院,研究机构
北京交通职业教育集团,北京交通信息中心,研究机构
北京交通职业教育集团,北京交通行业节能减排中心,研究机构
北京交通职业教育集团,北京交通运行监测调度中心,研究机构
北京交通职业教育集团,北京市职业技能鉴定第28所,其他组织
北京交通职业教育集团,德累斯顿工业大学职业教育和继续教育学院,其他组织
北京交通职业教育集团,新南威尔士技术与继续教育委员会,其他组织
北京现代服务业职业教育集团,清华大学继续教育学院,本科
北京现代服务业职业教育集团,中国地质大学继续教育学院,本科
北京现代服务业职业教育集团,中华女子学院,本科
北京现代服务业职业教育集团,北京劳动保障学院,高职
北京现代服务业职业教育集团,北京财贸职业学院,高职
北京现代服务业职业教育集团,北京交通运输学院,高职
北京现代服务业职业教育集团,北京信息职业技术学院,高职
北京现代服务业职业教育集团,天津中德应用技术大学,高职
北京现代服务业职业教育集团,唐山工业职业技术学院,高职
北京现代服务业职业教育集团,北京一商集团有限责任公司干部学校,其他组织
北京现代服务业职业教育集团,中共北京物资有限公司党校,其他组织
北京现代服务业职业教育集团,北京市经济管理学校,中职
北京现代服务业职业教育集团,北京市商务科技学校,中职
北京现代服务业职业教育集团,北京商贸学校,中职
北京现代服务业职业教育集团,北京市对外贸易学校,中职
北京现代服务业职业教育集团,北京市供销学校,中职
北京现代服务业职业教育集团,天津市第一商业学校,中职
北京现代服务业职业教育集团,大连商业学校,中职
北京现代服务业职业教育集团,张家口市职教中心,中职
北京现代服务业职业教育集团,廊坊市电子信息工程学校,中职
北京现代服务业职业教育集团,云南省保山市施甸县职业高级中学,中职
北京现代服务业职业教育集团,云南省保山市昌宁县职业技术学校,中职
北京现代服务业职业教育集团,云南省保山市隆阳区职业技术学校,中职
北京现代服务业职业教育集团,云南省保山市龙陵县职业高级中学,中职
北京现代服务业职业教育集团,云南省保山市腾冲县第一职业高级中学,中职
北京现代服务业职业教育集团,云南省保山市腾冲县第二职业技术中学,中职
北京现代服务业职业教育集团,北京祥龙博瑞汽车服务集团有限公司,企业
北京现代服务业职业教育集团,北京祥龙物流（集团）有限公司,企业
