集团名称,牵头单位,示范性职业教育集团（联盟）培育单位,集团类型,主管机构,成员数据来源,链接,成员名称,成员类型,学校名称,办学层次
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市出租汽车暨汽车租赁协会,行业协会,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京祥龙博瑞汽车服务（集团）有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京京港地铁有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,港铁轨道交通（深圳）有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,一汽丰田汽车销售有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,巴斯夫涂料国际贸易（上海）有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京尚盟汽车服务有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,易通交通信息发展有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京广达汽车维修设备有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京祥龙公交客运有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京嘉华企业管理有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京埃斯林根教育科技有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,巴斯夫（中国）有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,丰田汽车（中国）投资有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,广汽丰田汽车有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,戴姆勒大中华区投资有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,上汽通用汽车销售有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,庞贝捷漆油贸易（上海）有限公司,企业单位,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京汽车技术研究所,研究机构,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京交通发展研究院,研究机构,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京交通信息中心,研究机构,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京交通行业节能减排中心,研究机构,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京交通运行监测调度中心,研究机构,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市职业技能鉴定第28所,其他组织,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,德累斯顿工业大学职业教育和继续教育学院,其他组织,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,新南威尔士技术与继续教育委员会,其他组织,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,清华大学继续教育学院,本科院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,中国地质大学继续教育学院,本科院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,中华女子学院,本科院校,中华女子学院,本科
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京劳动保障学院,专科（高职）院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京财贸职业学院,专科（高职）院校,北京财贸职业学院,专科（高职）院校
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京交通运输学院,专科（高职）院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京信息职业技术学院,专科（高职）院校,北京信息职业技术学院,专科（高职）院校
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,天津中德应用技术大学,专科（高职）院校,天津中德应用技术大学,本科
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,唐山工业职业技术学院,专科（高职）院校,唐山工业职业技术学院,专科（高职）院校
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京一商集团有限责任公司干部学校,其他组织,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,中共北京物资有限公司党校,其他组织,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京市经济管理学校,中职院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京市商务科技学校,中职院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京商贸学校,中职院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京市对外贸易学校,中职院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,北京市供销学校,中职院校,,
北京现代服务业职业教育集团,北京祥龙资产经营有限责任公司，北京市商业学校,第一批,职业教育,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,天津市第一商业学校,中职院校,,
