集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞市莞城中心小学教育集团,基础教育,广东省，东莞市,东莞市莞城中心小学,揭东区新亨镇硕联小学,小学,当地教育厅或政府公告,,,
东莞市莞城英文实验学校教育集团,基础教育,广东省，东莞市,东莞市莞城英文实验学校,东莞市莞城平乐坊小学,小学,当地教育厅或政府公告,,,
东莞市莞城英文实验学校教育集团,基础教育,广东省，东莞市,东莞市莞城英文实验学校,揭东区龙尾镇龙珠中心小学,小学,当地教育厅或政府公告,,,
东莞市虎门镇中心小学教育集团,基础教育,广东省，东莞市,东莞市虎门镇中心小学,东莞市虎门镇中心小学赤岗分校,小学,当地教育厅或政府公告,,,
东莞市虎门镇中心小学教育集团,基础教育,广东省，东莞市,东莞市虎门镇中心小学,东莞市虎门镇太平小学,小学,当地教育厅或政府公告,,,
东莞市虎门镇东方小学教育集团,基础教育,广东省，东莞市,东莞市虎门镇东方小学,东莞市虎门镇红旗小学,小学,当地教育厅或政府公告,,,
东莞市万江中心小学教育集团,基础教育,广东省，东莞市,东莞市万江中心小学,东莞市万江中心小学滘联校区,小学,当地教育厅或政府公告,,,
东莞市万江中心小学教育集团,基础教育,广东省，东莞市,东莞市万江中心小学,东莞市万江第二小学,小学,当地教育厅或政府公告,,,
东莞市万江中心小学教育集团,基础教育,广东省，东莞市,东莞市万江中心小学,东莞市万江第七小学,小学,当地教育厅或政府公告,,,
东莞市中堂镇中心小学教育集团,基础教育,广东省，东莞市,东莞市中堂镇中心小学,东莞市中堂镇蕉利小学,小学,当地教育厅或政府公告,,,
东莞市高埗镇中心小学教育集团,基础教育,广东省，东莞市,东莞市高埗镇中心小学,东莞市高埗镇冼沙小学,小学,当地教育厅或政府公告,,,
东莞市高埗镇中心小学教育集团,基础教育,广东省，东莞市,东莞市高埗镇中心小学,东莞市高埗镇实验小学,小学,当地教育厅或政府公告,,,
东莞市道滘镇中心小学教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心小学,东莞市道滘镇小河小学,小学,当地教育厅或政府公告,,,
东莞市道滘镇中心小学教育集团,基础教育,广东省，东莞市,东莞市道滘镇中心小学,东莞市道滘镇南城小学,小学,当地教育厅或政府公告,,,
东莞市厚街镇前进小学教育集团,基础教育,广东省，东莞市,东莞市厚街镇前进小学,东莞市厚街镇大迳小学,小学,当地教育厅或政府公告,,,
东莞市厚街镇前进小学教育集团,基础教育,广东省，东莞市,东莞市厚街镇前进小学,韶关市翁源县龙仙第一小学,小学,当地教育厅或政府公告,,,
东莞市长安镇中心小学教育集团,基础教育,广东省，东莞市,东莞市长安镇中心小学,东莞市长安镇厦岗小学,小学,当地教育厅或政府公告,,,
东莞市长安镇中心小学教育集团,基础教育,广东省，东莞市,东莞市长安镇中心小学,东莞市长安镇第二小学,小学,当地教育厅或政府公告,,,
东莞市长安镇中心小学教育集团,基础教育,广东省，东莞市,东莞市长安镇中心小学,韶关乳城镇中心小学,小学,当地教育厅或政府公告,,,
东莞市长安镇中心小学教育集团,基础教育,广东省，东莞市,东莞市长安镇中心小学,韶关桂头镇中心小学,小学,当地教育厅或政府公告,,,
东莞市大朗镇中心小学教育集团,基础教育,广东省，东莞市,东莞市大朗镇中心小学,东莞市大朗镇新民小学,小学,当地教育厅或政府公告,,,
东莞市大朗镇中心小学教育集团,基础教育,广东省，东莞市,东莞市大朗镇中心小学,东莞市大朗镇水口小学,小学,当地教育厅或政府公告,,,
东莞市大朗镇实验小学教育集团,基础教育,广东省，东莞市,东莞市大朗镇实验小学,东莞市大朗镇三星小学,小学,当地教育厅或政府公告,,,
东莞市大朗镇实验小学教育集团,基础教育,广东省，东莞市,东莞市大朗镇实验小学,韶关市乐昌市河南小学,小学,当地教育厅或政府公告,,,
东莞市常平镇第一小学教育集团,基础教育,广东省，东莞市,东莞市常平镇第一小学,东莞市常平镇第三小学,小学,当地教育厅或政府公告,,,
东莞市常平镇第一小学教育集团,基础教育,广东省，东莞市,东莞市常平镇第一小学,韶关市曲江区白土镇中心小学,小学,当地教育厅或政府公告,,,
东莞市桥头镇中心小学教育集团,基础教育,广东省，东莞市,东莞市桥头镇中心小学,东莞市桥头镇第五小学,小学,当地教育厅或政府公告,,,
东莞市桥头镇中心小学教育集团,基础教育,广东省，东莞市,东莞市桥头镇中心小学,普宁市大坪农场梅星小学,小学,当地教育厅或政府公告,,,
