学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
湖南医药学院,4143012214.0,湖南省,湖南省,怀化市,本科,公办
湖南涉外经济学院,4143012303.0,湖南省教育厅,湖南省,长沙市,本科,民办
湘潭大学兴湘学院,4143012599.0,湖南省教育厅,湖南省,湘潭市,本科,民办
湖南工业大学科技学院,4143012604.0,湖南省教育厅,湖南省,株洲市,本科,民办
湖南科技大学潇湘学院,4143012649.0,湖南省教育厅,湖南省,湘潭市,本科,民办
南华大学船山学院,4143012650.0,湖南省教育厅,湖南省,衡阳市,本科,民办
湘潭理工学院,4143012651.0,湖南省教育厅,湖南省,湘潭市,本科,民办
湖南师范大学树达学院,4143012652.0,湖南省教育厅,湖南省,长沙市,本科,民办
湖南农业大学东方科技学院,4143012653.0,湖南省教育厅,湖南省,长沙市,本科,民办
中南林业科技大学涉外学院,4143012656.0,湖南省教育厅,湖南省,长沙市,本科,民办
湖南文理学院芙蓉学院,4143012657.0,湖南省教育厅,湖南省,常德市,本科,民办
湖南理工学院南湖学院,4143012658.0,湖南省教育厅,湖南省,岳阳市,本科,民办
衡阳师范学院南岳学院,4143012659.0,湖南省教育厅,湖南省,衡阳市,本科,民办
湖南工程学院应用技术学院,4143012660.0,湖南省教育厅,湖南省,湘潭市,本科,民办
湖南中医药大学湘杏学院,4143012661.0,湖南省教育厅,湖南省,长沙市,本科,民办
吉首大学张家界学院,4143012662.0,湖南省教育厅,湖南省,张家界市,本科,民办
长沙理工大学城南学院,4143013635.0,湖南省教育厅,湖南省,长沙市,本科,民办
长沙师范学院,4143013806.0,湖南省,湖南省,长沙市,本科,公办
湖南应用技术学院,4143013809.0,湖南省教育厅,湖南省,常德市,本科,民办
湖南信息学院,4143013836.0,湖南省教育厅,湖南省,长沙市,本科,民办
湖南交通工程学院,4143013924.0,湖南省教育厅,湖南省,衡阳市,本科,民办
湖南软件职业技术大学,4143013925.0,湖南省教育厅,湖南省,湘潭市,本科,民办
湘中幼儿师范高等专科学校,3643000496.0,湖南省,湖南省,邵阳市,专科,公办
长沙民政职业技术学院,4143010827.0,湖南省,湖南省,长沙市,专科,公办
