学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
安徽国际商务职业学院,4134013846,安徽省,安徽省,合肥市,专科,公办
安徽公安职业学院,4134013847,安徽省,安徽省,合肥市,专科,公办
安徽林业职业技术学院,4134013848,安徽省,安徽省,合肥市,专科,公办
安徽审计职业学院,4134013849,安徽省,安徽省,合肥市,专科,公办
安徽新闻出版职业技术学院,4134013850,安徽省,安徽省,合肥市,专科,公办
安徽邮电职业技术学院,4134013851,安徽省,安徽省,合肥市,专科,公办
安徽工业职业技术学院,4134013852,安徽省,安徽省,铜陵市,专科,公办
民办合肥财经职业学院,4134014058,安徽省教育厅,安徽省,合肥市,专科,民办
安庆医药高等专科学校,4134014096,安徽省,安徽省,安庆市,专科,公办
安徽涉外经济职业学院,4134014132,安徽省教育厅,安徽省,合肥市,专科,民办
安徽绿海商务职业学院,4134014133,安徽省教育厅,安徽省,合肥市,专科,民办
合肥共达职业技术学院,4134014135,安徽省教育厅,安徽省,合肥市,专科,民办
蚌埠经济技术职业学院,4134014137,安徽省教育厅,安徽省,蚌埠市,专科,民办
民办安徽旅游职业学院,4134014165,安徽省教育厅,安徽省,阜阳市,专科,民办
徽商职业学院,4134014191,安徽省,安徽省,合肥市,专科,公办
马鞍山职业技术学院,4134014192,安徽省,安徽省,马鞍山市,专科,公办
安徽现代信息工程职业学院,4134014210,安徽省教育厅,安徽省,淮南市,专科,民办
安徽矿业职业技术学院,4134014229,安徽省教育厅,安徽省,淮北市,专科,民办
合肥信息技术职业学院,4134014230,安徽省教育厅,安徽省,合肥市,专科,民办
桐城师范高等专科学校,4134014273,安徽省,安徽省,安庆市,专科,公办
黄山职业技术学院,4134014296,安徽省,安徽省,黄山市,专科,公办
滁州城市职业学院,4134014297,安徽省,安徽省,滁州市,专科,公办
安徽汽车职业技术学院,4134014298,安徽省,安徽省,合肥市,专科,公办
皖西卫生职业学院,4134014299,安徽省,安徽省,六安市,专科,公办
合肥幼儿师范高等专科学校,4134014330,安徽省,安徽省,合肥市,专科,公办
安徽扬子职业技术学院,4134014342,安徽省教育厅,安徽省,芜湖市,专科,民办
安徽黄梅戏艺术职业学院,4134014378,安徽省,安徽省,安庆市,专科,公办
安徽粮食工程职业学院,4134014418,安徽省,安徽省,合肥市,专科,公办
安徽卫生健康职业学院,4134014419,安徽省,安徽省,池州市,专科,公办
合肥科技职业学院,4134014420,安徽省教育厅,安徽省,合肥市,专科,民办
皖北卫生职业学院,4134014502,安徽省,安徽省,宿州市,专科,公办
阜阳幼儿师范高等专科学校,4134014536,安徽省,安徽省,阜阳市,专科,公办
黄山健康职业学院,4134014704,安徽省教育厅,安徽省,黄山市,专科,民办
宿州航空职业学院,4134014747,安徽省教育厅,安徽省,宿州市,专科,民办
厦门大学,4135010384,教育部,福建省,厦门市,本科,公办
华侨大学,4135010385,中央统战部,福建省,泉州市,本科,公办
福州大学,4135010386,福建省,福建省,福州市,本科,公办
福建工程学院,4135010388,福建省,福建省,福州市,本科,公办
福建农林大学,4135010389,福建省,福建省,福州市,本科,公办
集美大学,4135010390,福建省,福建省,厦门市,本科,公办
福建医科大学,4135010392,福建省,福建省,福州市,本科,公办
福建中医药大学,4135010393,福建省,福建省,福州市,本科,公办
福建师范大学,4135010394,福建省,福建省,福州市,本科,公办
闽江学院,4135010395,福建省,福建省,福州市,本科,公办
武夷学院,4135010397,福建省,福建省,南平市,本科,公办
宁德师范学院,4135010398,福建省,福建省,宁德市,本科,公办
泉州师范学院,4135010399,福建省,福建省,泉州市,本科,公办
闽南师范大学,4135010402,福建省,福建省,漳州市,本科,公办
厦门理工学院,4135011062,福建省,福建省,厦门市,本科,公办
三明学院,4135011311,福建省,福建省,三明市,本科,公办
龙岩学院,4135011312,福建省,福建省,龙岩市,本科,公办
福建商学院,4135011313,福建省,福建省,福州市,本科,公办
福建警察学院,4135011495,福建省,福建省,福州市,本科,公办
莆田学院,4135011498,福建省,福建省,莆田市,本科,公办
仰恩大学,4135011784,福建省教育厅,福建省,泉州市,本科,民办
厦门医学院,4135012631,福建省,福建省,厦门市,本科,公办
厦门华厦学院,4135012709,福建省教育厅,福建省,厦门市,本科,民办
闽南理工学院,4135012710,福建省教育厅,福建省,泉州市,本科,民办
泉州职业技术大学,4135012928,福建省教育厅,福建省,泉州市,本科,民办
闽南科技学院,4135012992,福建省教育厅,福建省,泉州市,本科,民办
福州工商学院,4135012993,福建省教育厅,福建省,福州市,本科,民办
厦门工学院,4135013115,福建省教育厅,福建省,厦门市,本科,民办
阳光学院,4135013468,福建省教育厅,福建省,福州市,本科,民办
