数据源名称,数据源类型,来源,地区,内容说明,网址,备注
关于印发《广西现代商贸职业教育集团 机构人员名单》的通知,成员名单,广西现代商贸职教集团,广西壮族自治区,广西现代商贸职业教育集团机构人员名单,http://www.gxxdsmzj.com/content/348.html,
广西现代商贸职业教育集团机构人员名单,管理层名单,广西现代商贸职教集团,广西壮族自治区,广西现代商贸职业教育集团机构人员名单,http://www.gxxdsmzj.com/content/348.html,
湖南机械装备制造业职业教育集团-成员介绍,成员名单,湖南工业职业技术学院,湖南省,湖南机械装备制造业职业教育集团-成员介绍,http://www.hunangy.com/jxzb/cyjs/yx.htm,
陕西铁路建筑职业教育集团成员单位,成员名单,陕西铁路建筑职业教育集团,陕西省,陕西铁路建筑职业教育集团成员单位,https://zyjyjt.sxri.net/cydw/list.htm,
聊城市第一职业教育集团成员单位,成员名单,聊城市第一职业教育集团,山东省,聊城市第一职业教育集团成员单位,http://zjjt.lcvtc.edu.cn/cydw/qycy.htm,
聊城市第一职业教育集团-集团领导,管理层名单,聊城市第一职业教育集团,山东省,聊城市第一职业教育集团-集团领导,http://zjjt.lcvtc.edu.cn/info/1058/1190.htm,
泛美航空职业教育集团介绍,成员名单,泛美集团,四川省,泛美航空职业教育集团介绍,https://www.fanmeiedu.com/Page_1173.html,
泛美集团董事局,管理层名单,泛美集团,四川省,泛美集团董事局,https://www.fanmeiedu.com/Page_1168.html,
广西汽车产业职业教育集团各集团成员单位,成员名单,广西汽车产业职业教育集团,广西壮族自治区,广西汽车产业职业教育集团各集团成员单位,http://qczj.lzzy.edu.cn/jtdt/gjtcydw,
宜昌三峡职教集团成员单位,成员名单,宜昌三峡职教集团,湖北省,宜昌三峡职教集团成员单位,https://www.yczjjt.cn/html/web/chengyuandanwei/index.html,
宜昌三峡职教集团现任领导,管理层名单,宜昌三峡职教集团,湖北省,宜昌三峡职教集团现任领导,https://www.yczjjt.cn/html/web/jituangaikuang/xianrenlingdao/index.html,
中山市专业镇特色产业职业教育集团-集团成员,成员名单,中山市专业镇特色产业职业教育集团,广东省,中山市专业镇特色产业职业教育集团-集团成员,https://www.zspt.edu.cn/zszjjt/jtjj/jtcy.htm,
江苏地质职业教育集团-集团成员,成员名单,江苏省南京工程高等职业学校,江苏省,江苏地质职业教育集团-集团成员,https://www.njevc.cn/zjjt/member/214_1.shtml,
江苏地质职业教育集团第一届理事会组织机构名单,管理层名单,江苏省南京工程高等职业学校,江苏省,江苏地质职业教育集团第一届理事会组织机构名单,https://www.njevc.cn/zjjt/group/org.shtml,
云南省曲靖市麒麟职业教育集团-集团章程,成员名单,曲靖市麒麟职业教育集团,云南省,云南省曲靖市麒麟职业教育集团-集团章程,http://www.qjou.cn/channels/385.html,
云南省曲靖市麒麟职业教育集团-现任领导,管理层名单,曲靖市麒麟职业教育集团,云南省,云南省曲靖市麒麟职业教育集团-现任领导,http://www.qjou.cn/channels/121.html,
烟台市服务外包职业教育集团-理事单位,成员名单,烟台职业学院,山东省,烟台市服务外包职业教育集团-理事单位,https://zjjt.ytvc.edu.cn/lsdw1.htm,
山东冶金职业教育集团成员介绍,成员名单,山东工业职业学院,山东省,山东冶金职业教育集团成员介绍,http://yjzj.sdivc.edu.cn/cyjs1/yx.htm,
山东冶金职业教育集团第一届理事会会员单位名单,成员名单,山东工业职业学院,山东省,山东冶金职业教育集团第一届理事会会员单位名单,http://yjzj.sdivc.edu.cn/info/1048/1070.htm,
山东冶金职业教育集团第一届理事会名誉理事长、理事长、秘书长、副秘书长名单,管理层名单,山东工业职业学院,山东省,山东冶金职业教育集团第一届理事会名誉理事长、理事长、秘书长、副秘书长名单,http://yjzj.sdivc.edu.cn/info/1048/1069.htm,
湖南工艺美术职业教育集团成员单位,成员名单,湖南工艺美术职业学院,湖南省,湖南工艺美术职业教育集团成员单位,http://www.hnacgroup.com/cydw.htm,
