学校名称,学校官网,人工补全记录,数据源,备注
开封空分设备厂职工大学,,LJJ_20221213,,
焦作职工医学院,,LJJ_20221213,,
磨料磨具工业职工大学,,LJJ_20221213,,
驻马店教育学院,,LJJ_20221213,,
湖北兵器工业职工大学,,LJJ_20221213,,
湖北省纺织职工大学,,LJJ_20221213,,
鄂城钢铁厂职工大学,,LJJ_20221213,,
丹江口工程管理局职工大学,,LJJ_20221213,,
湖北省直属机关业余大学,,LJJ_20221213,,
湖北省经济管理干部学院,,LJJ_20221213,,
大冶钢厂职工大学,,LJJ_20221213,,
武汉冶金管理干部学院,,LJJ_20221213,,
湖北武汉公安管理干部学院,,LJJ_20221213,,
华中电业联合职工大学,,LJJ_20221213,,
涟源钢铁总厂职工大学,,LJJ_20221213,,
湖南航空工业职工工学院,,LJJ_20221213,,
中钢集团衡阳重机职工大学,,LJJ_20221213,,
衡阳工业职工大学,,LJJ_20221213,,
湘潭教育学院,,LJJ_20221213,,
湖南金融技术职工大学,,LJJ_20221213,,
湖南纺织职工大学,,LJJ_20221213,,
长沙工业职工大学,,LJJ_20221213,,
广州金桥管理干部学院,,LJJ_20221213,,
湛江市业余大学,,LJJ_20221213,,
汕头市业余大学,,LJJ_20221213,,
韶关市职工大学,,LJJ_20221213,,
广州市公安管理干部学院,,LJJ_20221213,,
广东省公安司法管理干部学院,,LJJ_20221213,,
广东省职工体育运动技术学院,,LJJ_20221213,,
广西政法管理干部学院,,LJJ_20221213,,
重庆冶金成人学院,,LJJ_20221213,,
中国工程物理研究院职工工学院,,LJJ_20221213,,
国营涪江机器厂职工大学,,LJJ_20221213,,
成都冶金职工大学,,LJJ_20221213,,
成都工业职工大学,,LJJ_20221213,,
四川省化工职工大学,,LJJ_20221213,,
中国科学院成都分院职工大学,,LJJ_20221213,,
广元职工医学院,,LJJ_20221213,,
贵州铝厂职工大学,,LJJ_20221213,,
贵州机械工业职工大学,,LJJ_20221213,,
陕西航天职工大学,,LJJ_20221213,,
西安航空职工大学,,LJJ_20221213,,
西安飞机工业公司职工工学院,,LJJ_20221213,,
西北电业职工大学,,LJJ_20221213,,
陕西省建筑工程总公司职工大学,,LJJ_20221213,,
宝鸡市职工大学,,LJJ_20221213,,
兰州铁路工程职工大学,,LJJ_20221213,,
甘肃核工业职工大学,,LJJ_20221213,,
银光化学材料厂职工大学,,LJJ_20221213,,
青海省联合职工大学,,LJJ_20221213,,
喀什教育学院,,LJJ_20221213,,
新疆生产建设兵团教育学院,,LJJ_20221213,,
和田地区教育学院,,LJJ_20221213,,
武警海警学院,,,,
