学校名称,所在城市,人工补全记录,数据源,备注
安徽开放大学,,LJJ_20221213,,
福建教育学院,,LJJ_20221213,,
福建开放大学,,LJJ_20221213,,
厦门开放大学,,LJJ_20221213,,
江西行政管理干部学院,,LJJ_20221213,,
昌河职工工学院,,LJJ_20221213,,
南昌钢铁有限责任公司职工大学,,LJJ_20221213,,
江西开放大学,,LJJ_20221213,,
江西经济管理干部学院,,,,
山东省水利职工大学,,LJJ_20221213,,
山东兵器工业职工大学,,LJJ_20221213,,
新汶矿务局职工大学,,LJJ_20221213,,
济南市职工大学,,LJJ_20221213,,
山东省经济管理干部学院,,LJJ_20221213,,
山东省聊城教育学院,,LJJ_20221213,,
山东省济宁教育学院,,LJJ_20221213,,
山东开放大学,,LJJ_20221213,,
兖州矿区职工大学,,LJJ_20221213,,
山东财政职工大学,,LJJ_20221213,,
青岛开放大学,,LJJ_20221213,,
长城铝业公司职工工学院,,LJJ_20221213,,
郑州市职工大学,,LJJ_20221213,,
第一拖拉机制造厂拖拉机学院,,LJJ_20221213,,
洛阳轴承职工大学,,LJJ_20221213,,
洛阳有色金属职工大学,,LJJ_20221213,,
开封空分设备厂职工大学,,LJJ_20221213,,
河南开放大学,,LJJ_20221213,,
焦作职工医学院,,LJJ_20221213,,
磨料磨具工业职工大学,,LJJ_20221213,,
驻马店教育学院,,LJJ_20221213,,
武汉开放大学,,LJJ_20221213,,
湖北兵器工业职工大学,,LJJ_20221213,,
湖北省纺织职工大学,,LJJ_20221213,,
鄂城钢铁厂职工大学,,LJJ_20221213,,
丹江口工程管理局职工大学,,LJJ_20221213,,
湖北省直属机关业余大学,,LJJ_20221213,,
湖北省经济管理干部学院,,LJJ_20221213,,
十堰教育学院,,LJJ_20221213,,
大冶钢厂职工大学,,LJJ_20221213,,
湖北开放大学,,LJJ_20221213,,
武汉冶金管理干部学院,,LJJ_20221213,,
湖北武汉公安管理干部学院,,LJJ_20221213,,
华中电业联合职工大学,,LJJ_20221213,,
涟源钢铁总厂职工大学,,LJJ_20221213,,
株洲市职工大学,,LJJ_20221213,,
湖南航空工业职工工学院,,LJJ_20221213,,
中钢集团衡阳重机职工大学,,LJJ_20221213,,
衡阳工业职工大学,,LJJ_20221213,,
长沙教育学院,,LJJ_20221213,,
湘潭教育学院,,LJJ_20221213,,
湖南开放大学,,LJJ_20221213,,
益阳教育学院,,LJJ_20221213,,
湖南金融技术职工大学,,LJJ_20221213,,
湖南纺织职工大学,,LJJ_20221213,,
长沙工业职工大学,,LJJ_20221213,,
广州金桥管理干部学院,,LJJ_20221213,,
南海成人学院,,LJJ_20221213,,
