成员名称
中铁西南科学研究院有限公司
中国中铁四局集团有限公司
中交第二公路工程局有限公司
中国铁路呼和浩特局集团有限公司
陕西铁路工程职业技术学院
中国中铁一局集团有限公司
中铁二十局集团有限公司技工学校
陕西建工集团有限公司
长安大学地质工程与测绘学院
俄罗斯萨马拉国立交通大学
兰州交通大学土木工程学院
中国中铁北京工程局集团有限公司
兰州交通大学铁道技术学院
机械工业勘测设计研究院监测公司
渭南职业技术学院
中国中铁二十三局集团有限公司
长安大学公路学院
杨凌职业技术学院
陕西交通职业技术学院
陕西工业职业技术学院
中国中铁十四局集团有限公司
中国中铁八局集团有限公司
中国中铁二十一局集团有限公司
陕西省建筑材料工业学校
中国中铁七局集团有限公司
中国铁路西安局集团有限公司
中国铁路广州局集团有限公司
西安市地下铁道有限责任公司
九冶建设（集团）有限公司
西南交通大学土木工程学院
南京理工大学科技园股份有限公司
宝鸡铁路技师学院
