成员名称,成员大类
石家庄工程技术学校,院校
邯郸建筑工程中专学校,院校
巴音郭楞职业技术学院,院校
冀中职业学院,院校
邯郸职业技术学院,院校
河北机电职业技术学院,院校
渤海理工职业学院,院校
石家庄职业技术学院,院校
灵寿职业技术教育中心,院校
俄罗斯国立交通大学,院校
石家庄铁道大学,院校
中铁十八局集团建筑安装工程有限公司,企业
河北城乡建设学校,院校
中铁十七局集团第三工程有限公司,企业
石家庄铁路职业技术学院,院校
中铁十七局集团电气化工程有限公司,企业
中铁十一局集团第二工程有限公司,企业
中铁建设集团有限公司华北分公司,企业
中铁建安工程设计院有限公司,企业
中铁二十局集团有限公司,企业
河北建筑设计研究院有限责任公司,企业
河北冀通路桥建设有限公司,企业
河北众诚房地产开发集团有限公司,企业
河北浦升安全技术工程有限公司,企业
大元建业集团股份有限公司,企业
河北省地理信息产业协会,行业协会
河北建工集团有限责任公司,企业
河北省建筑业协会,行业协会
