成员名称
桂林师范高等专科学校
广西民办协会学前教育专业委员会
广西幼儿师范高等专科学校
广西现代职业技术学院
柳州城市职业学院
钦州市合浦师范学校
桂林市兴安师范学校
河池市巴马民族师范学校
南宁市第四职业技术学校
平果县第一幼儿园
百色市幼儿园
梧州市第一幼儿园
河池市直属机关幼儿园
柳州市直属机关幼儿园
桂林市七星托幼教育集团七星幼儿园
中共广西壮族自治区委员会机关保育院
广西实验幼儿园
广西壮族自治区直属机关第三幼儿园
广西壮族自治区直属机关第一幼儿园
广西大学第二幼儿园
南宁市第一幼儿园
