成员名称
江苏省南京工程高等职业学校
江苏省地质矿产勘查局
江苏煤炭地质局
江苏省测绘局
江苏省岩土工程公司
江苏煤炭地质物测队
江苏省水文地质工程地质勘察院
江苏省地质测绘院
江苏省工程物理勘察院
江苏省地质工程勘察院
江苏省地质工程有限公司
江苏省地质矿产局第六地质大队
江苏省地质矿产局第五地质大队
江苏省地质矿产局第三地质大队
江苏省地质矿产勘查局第一地质大队
南京高飞建设有限公司
江苏今迈工程勘查有限公司
翰林泰科电子（南京）有限公司
南京厦华石业（集团）有限公司
南京天生桥天生桥山庄会所有限公司
立维腾电子（南京）有限公司
聚成资讯集团有限公司
向阳渔港集团股份有限公司
江苏省地质工程勘察院
南京阿斯特液压件有限公司
昆山点线面信息科技有限公司
南京衡冠贸易实业有限公司
南京广开工贸有限公司
南京迈瑞生物医疗电子有限公司
昆山阳光绿都生态园
江苏民航东源大酒店
南京双门楼宾馆
南京水秀苑大酒店
南京玄武饭店
合荣欣业信息技术有限公司
南京思创信息技术有限公司
南京嘉环科技有限公司
南京康尼科技实业有限公司
南京上发电子有限公司
南京华士电子科技有限公司
上海鲁班软件有限公司
南京金陵建筑装饰有限责任公司
南京新爱华装饰有限责任公司
苏杰国际建筑工程有限公司
江苏省地质工程有限公司
江苏省地质物资供销公司
江苏三江基础工程有限公司
南京南地钻探机械有限公司
江苏省地质矿产局第六地质大队
江苏省地质矿产局第五地质大队
江苏省地质矿产局第三地质大队
江苏省地质矿产勘查局第一地质大队
南京麒麟教学设备有限公司
江苏省岩土工程公司
南京土壤仪器厂有限公司
无锡双帆钻凿设备有限公司
南京龙腾测绘仪器有限公司
南京德高旅游服务有限公司
南京南卓动漫发展有限公司
南京建工集团有限公司
江苏省地质工程勘察院北方分院
上海禹豪基础工程有限公司
扬州环境资源职业技术学院
江苏联合职业技术学院徐州机电工程分院
江苏省测绘局
东南大学岩土工程技术有限公司
江苏省水文地质工程地质勘察院
江苏省地质工程勘察院
江苏省测绘资料档案馆
南京林业大学测绘工程系
南京师范大学地理科学学院
河海大学测绘工程系
东南大学交通学院测绘工程系
江苏省工程物理勘察院
江苏省地质矿产勘查局第四地质大队
江苏煤炭地质物测队
江苏省地质测绘院
湖南工程职业技术学院
南京工业大学测绘学院
中国地质大学（武汉）远程与继续教育学院
江苏省南京工程高等职业学校
江苏煤炭地质局
江苏省地质矿产勘查局
