成员名称
四川西南航空职业学院
绵阳飞行职业学院
青岛航空科技职业学院
宿州航空职业学院
四川西南航空专修学院
成都航空旅游职业学校
青岛北方航空职业学校
绵阳泛美飞行职业技术学校
宿州中原航空中等专业学校
四川泛美蓝天教育咨询有限公司
云南泛美航空技术有限公司
