网页id,学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,电子简章,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,其他可补充字段,职业
11000,长春市第三十八中学,吉林,长春市,朝阳区,职业高中,公办,吉林长春市朝阳区,--,0431-81909906,--,--,--,朝阳区教育局,长春市朝阳区孟家五路1号,--,--,,,,,,,,,"{'道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '计算机类': ['数字媒体技术应用'], '金融类': ['金融事务'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务']}"
11001,农安县特殊教育技术学校,吉林,长春市,农安县,特殊教育,公办,吉林长春市农安县,--,--,--,,,--,--,--,,,,,,,,,,{}
11002,公主岭市职业教育中心,吉林,四平市,公主岭市,中等专业学校,公办,吉林四平市公主岭市,--,0434-6264241,--,,,--,--,--,,,是,,,,,,,{}
11003,吉林省歌舞剧院艺术中等职业学校,吉林,长春市,朝阳区,中等专业学校,民办,吉林长春市朝阳区,http://www.jlsgyx.cn/,0431--88704659,--,,,--,--,--,,,,,,,,,,{}
11004,长春民族艺术学校,吉林,长春市,宽城区,中等专业学校,民办,吉林长春市宽城区,http://ccmzyx.com/,0431-89356555,--,2009,38,长春市教育局,长春市宽城区兰家镇学理路333号,--,--,,,,是,,,,,"{'艺术设计类': ['绘画(美术)'], '表演艺术类': ['音乐表演(声乐)', '音乐表演(器乐)', '戏剧表演', '舞蹈表演(民族舞)', '舞蹈表演(国标舞)']}"
11005,永吉县实验职业高级中学,吉林,吉林市,永吉县,职业高中,公办,吉林吉林市永吉县,--,--,--,--,--,永吉县教育局,永吉县口前镇连山路770号,--,--,,,,,,,,,"{'机械设计制造类': ['焊接技术应用', '数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修', '汽车服务与营销'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '康复治疗类': ['康复技术'], '艺术设计类': ['绘画'], '教育类': ['幼儿保育']}"
11006,舒兰市职业高级中学,吉林,吉林市,舒兰市,职业高中,公办,吉林吉林市舒兰市,http://slzgxx.com,0432-68257369,--,1983,117,舒兰市教育局,舒兰市职业高中滨河街道学府三路,--,--,,,是,是,,,,,"{'农业类': ['农机设备应用与维修', '作物生产技术'], '航空装备类': ['无人机操控与维护'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '医学技术类': ['口腔修复工艺'], '康复治疗类': ['康复技术'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育'], '公共服务类': ['老年人服务与管理']}"
11007,伊通满族自治县职业技术教育中心,吉林,四平市,伊通满族自治县,中等专业学校,公办,吉林四平市伊通满族自治县,--,0434-4205758,--,1983,68,伊通满族自治县教育局,伊通县库仑大路东段北侧与福安街交汇,--,--,,,,是,,,,,"{'农业类': ['作物生产技术', '休闲农业生产与经营', '园艺技术'], '畜牧业类': ['畜禽生产技术'], '机械设计制造类': ['焊接技术应用', '数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机平面设计', '计算机应用'], '康复治疗类': ['康复技术'], '电子商务类': ['电子商务']}"
11008,四平盲童学校,吉林,四平市,铁西区,特殊教育,公办,吉林四平市铁西区,http://jlsspmtxx.cn/,0434-3622334,--,1978,57,四平市教育局,四平市铁西区条子河车站北,--,--,,,,,,,,,"{'中医药类': ['中医康复技术', '中医养生保健']}"
11009,辽源职业技术学院,吉林,辽源市,龙山区,中等专业学校,公办,吉林辽源市龙山区,http://www.lyvtc.cn,0437-5210125,--,1958,924,辽源市教育局,吉林省辽源市光明街777号(辽源现代职业教育园区),--,--,,,,,,,,,"{'建筑设计类': ['建筑装饰技术'], '土建施工类': ['建筑工程施工'], '自动化类': ['机电技术应用'], '医学技术类': ['医学检验技术'], '康复治疗类': ['康复技术']}"
11010,辽源市第一职业高级中学校,吉林,辽源市,龙山区,职业高中,公办,吉林辽源市龙山区,--,--,--,,,--,--,--,,,是,,,,,,,{}
