序号,学校名称,主管部门,所在省份,所在城市,办学层次,学校性质
1,国防科技大学,中国共产党中央军事委员会,湖南省,长沙市,本科,公办
2,海军军医大学,中国人民解放军海军,上海市,上海市,本科,公办
3,空军军医大学,中国人民解放军空军,陕西省,西安市,本科,公办
4,武警海警学院,中国人民武装警察部队,浙江省,宁波市,本科,公办
5,陆军工程大学,中国人民解放军陆军,江苏省,南京市,本科,公办
6,中国人民解放军战略支援部队信息工程大学,中国人民解放军战略支援部队,河南省,郑州市,本科,公办
