学校名称,办学层次,学校性质,学校类别,主管部门,所在省份,所在城市,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程
江西旅游商贸职业学院,专科（高职）,公办,财经类,江西省,江西,南昌市,1964,江西省南昌市经济技术开发区丁香路1号,http://www.jxlsxy.com/,江西旅商学院,,1068,2,2
江西农业工程职业学院,专科（高职）,公办,农林类,江西省,江西,宜春市,1940,江西省樟树市四特大道266号,http://www.jxaevc.com/,,,802,2,2
江西青年职业学院,专科（高职）,公办,综合类,江西省,江西,南昌市,2004,江西省南昌市经济技术开发区志敏大道1458号,https://www.jxqy.edu.cn/,江西青院,,169,2,2
江西机电职业技术学院,专科（高职）,公办,理工类,江西省,江西,南昌市,1958,江西省南昌市昌北经济技术开发区枫林大道168号,http://www.jxjdxy.edu.cn/html/jdzz/index.html,江西机电学院,,375,2,2
江西陶瓷工艺美术职业技术学院,专科（高职）,公办,艺术类,江西省,江西,景德镇市,1958,江西省景德镇市浮梁县工美大道666号,http://www.jxgymy.com/?SessionVerify=abb13e51-5403-46fa-8440-7ff34d350982,江西陶瓷工艺美院,,1408,2,2
江西制造职业技术学院,专科（高职）,公办,综合类,江西省,江西,南昌市,1978,江西省南昌市紫阳大道318号,http://www.jxmtc.com,江西制造学院,,400,2,2
上饶职业技术学院,专科（高职）,公办,理工类,江西省,江西,上饶市,2004,江西省上饶市旭日北大道358号,https://www.srzy.cn/,上饶职院,,550,2,2
江西应用技术职业学院,专科（高职）,公办,理工类,江西省,江西,赣州市,1958,江西省赣州市经济技术开发区高校园区文峰路9号,http://www.jxyy.edu.cn/,,,1255,2,2
江西财经职业学院,专科（高职）,公办,财经类,江西省,江西,九江市,1960,江西省九江市青年路96号,http://www.jxvc.jx.cn/,"九江财院,九江财校,江西财院",,1266,2,2
江西艺术职业学院,专科（高职）,公办,艺术类,江西省,江西,南昌市,1951,江西省南昌市庐山中大道1201号,http://www.jxysedu.com,,,153,2,2
赣西科技职业学院,专科（高职）,民办,综合类,江西省教育厅,江西,新余市,1986,主校区：江西省新余市渝水区赣西大道598号（劳动北路919号）新校区：江西省新余市仙女湖大道3039号,http://www.ganxidx.com,赣西学院,,2000,2,2
江西经济管理干部学院,专科（高职）,公办,财经类,江西省政府,江西,南昌市,1984,江西省南昌市红角洲卧龙路269号,http://jyc.jiea.edu.cn/,"江西经管院,江西经济管理职业学院,江西经管院",江西经济管理职业学院,655,2,2
江西航空职业技术学院,专科（高职）,民办,理工类,江西省教育厅,江西,南昌市,1956,"东校区：江西省南昌市青云谱区新溪桥东一路219号,西校区：江西省南昌市青云谱区新溪桥南一路41号",http://www.jhzyedu.cn/,"JAVTC,江航职院",,2000,2,2
鹰潭职业技术学院,专科（高职）,公办,综合类,江西省,江西,鹰潭市,1960,江西省鹰潭市信江新区滨江东路2号,http://www.jxytxy.cn/,鹰潭职院,,500,2,2
江西建设职业技术学院,专科（高职）,公办,理工类,江西省,江西,南昌市,1958,江西省南昌市小蓝经济开发区汇仁大道999号,http://www.jxjsxy.edu.cn/,江西建院,,611,2,2
江西工业工程职业技术学院,专科（高职）,公办,理工类,江西省,江西,萍乡市,1956,江西省萍乡市经济开发区玉湖东路106号区,http://www.jxgcxy.net/,"江西工业工程职院,JXVCIE",,630,2,2
江西工程学院,普通本科,民办,理工类,江西省教育厅,江西,新余市,1983,江西省新余市天工南大道1688号,http://www.jxue.edu.cn,江工,江西渝州科技职业学院,1976,2,2
江西信息应用职业技术学院,专科（高职）,公办,理工类,江西省,江西,南昌市,1956,江西省南昌市青云谱区气象路58号,http://www.jxcia.com/,江西信息应用职院,,710,2,2
江西环境工程职业学院,专科（高职）,公办,农林类,江西省,江西,赣州市,1953,江西省赣州市湖边经济技术开发区（宝葫芦农庄斜对面）,http://www.jxhjxy.com,江西林院,,813,2,2
南方医科大学,普通本科,公办,医药类,广东省,广东,广州市,1951,"校本部：广东省广州市白云区沙太南路1023-1063号,南校区：广东省广州市海珠区石榴岗路13号",http://www.smu.edu.cn/,南医大,原解放军第一军医大学,2650,2,2
肇庆学院,普通本科,公办,师范类,广东省,广东,肇庆市,1970,"校本部：广东省肇庆市端州区肇庆大道,星湖校区：广东省肇庆市端州区星湖大道",https://www.zqu.edu.cn/,,西江大学,1230,2,2
广东警官学院,普通本科,公办,政法类,广东省,广东,广州市,1949,"嘉禾校区（校本部）：广东省广州市白云区东平文盛庄路118号,滨江校区： 广东省广州市海珠区滨江东路500号",http://www.gdppla.edu.cn/,广警院,,560,2,2
广东技术师范大学,普通本科,公办,师范类,广东省,广东,广州市,1957,广东省广州市天河区中山大道西293号,https://www.gpnu.edu.cn/,"GPNU,广技师",广东技术师范学院,2615,2,2
广东培正学院,普通本科,民办,财经类,广东省教育厅,广东,广州市,1993,广东省广州市花都区赤坭培正路53号,https://www.peizheng.edu.cn/,"培正,培正学院",,869,2,2
广东白云学院,普通本科,民办,综合类,广东省教育厅,广东,广州市,1989,"西校区：广东省广州市白云区江高镇学苑路1号,北校区：广东省广州市白云区钟落潭镇九佛西路280号",http://www.baiyunu.edu.cn/,白云学院,,1350,2,2
广州航海学院,普通本科,公办,综合类,广东省,广东,广州市,1964,"黄埔校区（校本部）：广东省广州市黄埔区红山三路101号,琶洲校区：广东省广州市海珠区新港东路夏阳大街1号",http://www.gzmtu.edu.cn/,广航,广州航海高等专科学校,1020,2,2
肇庆医学高等专科学校,专科（高职）,公办,医药类,广东省,广东,肇庆市,1958,"校本部：广东省肇庆市端州区西江南路6号,鼎湖校区：广东省肇庆市鼎湖区新城北18区团结路1号",http://www.zqmc.edu.cn/,肇庆医专,,512,2,2
广东农工商职业技术学院,专科（高职）,公办,综合类,广东省,广东,广州市,1952,"粤垦路校区：广东省广州市天河区粤垦路198号,增城校区:广东省广州市增城区中新镇风光路393号",http://www.gdaib.edu.cn/,广东农工商职院,,1208,2,2
佛山职业技术学院,专科（高职）,公办,综合类,广东省,广东,佛山市,1999,广东省佛山市三水区乐平镇职教路3号,http://www.fspt.edu.cn/,佛职,,962,2,2
广东松山职业技术学院,专科（高职）,公办,理工类,广东省,广东,韶关市,1976,"校本部：广东省韶关市曲江区南华曹溪路188号,浈江校区:广东省韶关市浈江区狮塘路50号",http://www.gdsspt.edu.cn/,,,921,2,2
广东新安职业技术学院,专科（高职）,民办,综合类,广东省教育厅,广东,深圳市,1998,广东省深圳市南山区沙河东路259号,https://www.gdxa.edu.cn/,新安学院,,150,2,2
顺德职业技术学院,专科（高职）,公办,综合类,广东省,广东,佛山市,1984,广东省佛山市顺德区大良德胜东路,https://www.sdpt.edu.cn/,顺职,,1749,2,2
潮汕职业技术学院,专科（高职）,民办,综合类,广东省教育厅,广东,揭阳市,1999,广东省普宁市大学路1号,http://www.chaoshan.cn/,潮汕学院,,500,2,2
广东工商职业技术大学,普通本科,民办,综合类,广东省教育厅,广东,肇庆市,1996,广东省肇庆市七星岩旅游景区,http://www.gdbtu.edu.cn/,,"肇庆工商职业技术学院,广东西江学院,广东西江学院,广东工商职业学院",1742,2,2
广东理工学院,普通本科,民办,理工类,广东省教育厅,广东,肇庆市,1995,"校本部：广东省肇庆市高要区祈福大道,鼎湖校区：广东省肇庆市鼎湖区坑口金鼎路",http://www.gdlgxy.edu.cn,,肇庆科技职业技术学院,1521,2,2
广州华南商贸职业学院,专科（高职）,民办,财经类,广东省教育厅,广东,广州市,2005,广州校区：广东省广州市白云区钟落潭镇长腰岭长学路300号,https://www.scbt.edu.cn/,华贸职院,,900,2,2
广州体育职业技术学院,专科（高职）,公办,体育类,广东省,广东,广州市,1973,广东省广州市天河区长兴路338号,http://www.gztzy.edu.cn/,广州体育职院,,271,2,2
广东司法警官职业学院,专科（高职）,公办,政法类,广东省,广东,广州市,2002,"龙洞校区：广东省广州市天河区龙洞龙腾路245号,石井校区：广东省广州市白云区石井石潭西路30号",http://www.gdjpvc.edu.cn,广东司警职院,,309,2,2
广州城市职业学院,专科（高职）,公办,综合类,广东省,广东,广州市,2005,广东省广州市白云区广园中路248号,https://www.gcp.edu.cn/,广城职,,304,2,2
广东邮电职业技术学院,专科（高职）,公办,理工类,广东省,广东,广州市,1949,"广州校区：广东省广州市天河区中山大道西191号,江门校区：广东省江门市蓬江区潮连连荷路25号",https://www.gupt.edu.cn/,广东邮电学院,,460,2,2
清远职业技术学院,专科（高职）,公办,综合类,广东省,广东,清远市,2002,广东省清远市清城区东城街蟠龙园,https://www.qypt.edu.cn/,清职院,,3461,2,2
深圳信息职业技术学院,专科（高职）,公办,理工类,广东省,广东,深圳市,2002,广东省深圳市龙岗区龙翔大道2188号,https://www.sziit.edu.cn/,"深圳信息学院,深信院,深信息",,1389,2,2
珠海城市职业技术学院,专科（高职）,公办,综合类,广东省,广东,珠海市,2004,广东省珠海市金湾区德城路680号,https://www.zhcpt.edu.cn/,珠海城职院,,495,2,2
江门职业技术学院,专科（高职）,公办,综合类,广东省,广东,江门市,2004,"校本部：广东省江门市潮连大道6号,新宁学院校区：广东省江门市台山市台城南区沙岗湖科教文化区",http://www.jmpt.edu.cn/,江职院,,1100,2,2
惠州经济职业技术学院,专科（高职）,民办,财经类,广东省教育厅,广东,惠州市,2004,广东省惠州市惠城区马安镇新乐路,https://www.hzec.edu.cn/,惠州经济学院,,700,2,2
广州华立科技职业学院,专科（高职）,民办,综合类,广东省教育厅,广东,广州市,1999,"广州校区：广东省广州市增城区广州华立科技园华立路7号,云浮校区：广东省云浮市云安区都杨镇云祥大道53号",http://www.gzhlxy.edu.cn/,广州华立科技职业技术学院,,938,2,2
广东工程职业技术学院,专科（高职）,公办,理工类,广东省,广东,广州市,1958,"广州校区:广东省广州市天河区渔兴路18号,清远校区:广东省清远市清城区中宿路27号",http://www.gdep.edu.cn/,粤工程职院,,1395,2,2
